Station;010 Wedding;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;088 Messwagen Leipziger Str.;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;171 Mitte;174 Frankfurter Allee;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

08.02.2020 16:00;14;11;16;13;13;19;16;17;34;13;19;21
08.02.2020 17:00;15;11;17;15;12;21;18;20;49;16;24;23
08.02.2020 18:00;17;11;20;17;16;23;22;24;35;18;26;26
08.02.2020 19:00;17;12;21;18;19;27;22;31;35;26;31;28
08.02.2020 20:00;18;14;21;19;19;30;20;29;32;26;29;26
08.02.2020 21:00;21;15;24;21;19;30;21;27;31;25;29;26
08.02.2020 22:00;21;16;25;21;20;29;21;23;29;24;28;26
08.02.2020 23:00;20;16;23;21;20;24;21;21;30;21;27;25
09.02.2020 00:00;20;16;19;21;19;24;20;21;25;20;27;23
09.02.2020 01:00;19;16;19;20;19;24;20;21;22;19;23;22
09.02.2020 02:00;19;16;20;19;19;24;20;21;23;19;24;23
09.02.2020 03:00;20;16;19;19;19;24;20;22;23;20;24;22
09.02.2020 04:00;21;17;19;20;18;25;21;22;23;21;24;23
09.02.2020 05:00;21;19;20;21;19;26;22;23;25;22;25;23
09.02.2020 06:00;22;19;21;22;19;27;23;24;26;24;25;24
09.02.2020 07:00;23;20;22;22;20;27;25;25;26;23;27;24
09.02.2020 08:00;24;21;23;23;20;29;26;26;28;24;29;25
09.02.2020 09:00;24;22;24;23;19;29;26;26;28;24;28;26
09.02.2020 10:00;23;21;23;23;17;28;24;24;27;22;27;25
09.02.2020 11:00;27;20;22;22;17;28;26;25;29;23;28;26
09.02.2020 12:00;31;20;23;22;17;28;25;25;31;22;28;28
09.02.2020 13:00;31;17;21;20;15;25;23;22;27;20;26;26
09.02.2020 14:00;27;14;19;18;12;22;22;20;23;18;24;27
09.02.2020 15:00;22;13;17;16;10;20;18;18;22;16;24;25
09.02.2020 16:00;15;13;16;16;10;19;16;16;20;15;21;19
09.02.2020 17:00;13;11;15;14;9;17;16;15;18;13;18;17
09.02.2020 18:00;14;12;14;13;9;16;16;16;17;13;18;17
09.02.2020 19:00;15;13;15;14;9;16;16;15;17;13;22;18
09.02.2020 20:00;13;12;13;13;9;17;14;13;15;12;15;14
09.02.2020 21:00;12;12;13;12;8;14;14;13;14;12;16;13
09.02.2020 22:00;12;11;12;11;7;14;13;13;14;11;14;13
09.02.2020 23:00;12;10;13;11;7;14;13;14;15;12;16;13
10.02.2020 00:00;11;10;11;11;8;12;11;12;13;11;14;12
10.02.2020 01:00;11;11;10;11;7;12;13;12;12;10;12;11
10.02.2020 02:00;13;13;11;13;7;15;19;14;12;12;13;19
10.02.2020 03:00;11;11;10;12;9;12;17;14;14;11;12;22
10.02.2020 04:00;4;5;5;5;5;5;6;6;5;5;6;5
10.02.2020 05:00;4;4;4;5;3;5;5;5;5;4;5;5
10.02.2020 06:00;5;4;4;5;4;5;5;7;5;4;6;5
10.02.2020 07:00;5;4;5;5;4;6;6;7;7;5;7;6
10.02.2020 08:00;7;5;6;5;4;8;7;9;8;6;9;8
10.02.2020 09:00;7;6;8;8;5;10;9;10;10;8;10;11
10.02.2020 10:00;9;8;;7;5;11;10;11;11;10;13;12
10.02.2020 11:00;8;6;7;8;5;9;8;9;11;8;11;12
10.02.2020 12:00;4;4;5;5;4;6;5;7;6;5;7;6
10.02.2020 13:00;4;4;5;4;4;6;6;7;6;5;7;7
10.02.2020 14:00;4;4;5;4;4;6;5;7;6;5;8;8
10.02.2020 15:00;5;4;5;5;4;6;5;7;6;5;8;7
10.02.2020 16:00;6;5;5;6;5;7;6;9;8;6;9;8
10.02.2020 17:00;6;5;7;6;5;9;7;12;9;7;11;10
10.02.2020 18:00;6;5;7;6;5;8;7;10;10;8;9;11
10.02.2020 19:00;6;5;6;6;5;7;6;8;8;6;9;9
10.02.2020 20:00;6;5;6;6;4;8;7;8;8;6;9;9
10.02.2020 21:00;7;6;9;7;5;9;9;8;10;7;10;8
10.02.2020 22:00;8;7;10;8;6;12;9;12;11;8;13;11
10.02.2020 23:00;9;8;11;9;6;12;10;11;11;9;13;11
11.02.2020 00:00;8;7;8;8;5;10;8;9;9;8;10;9
11.02.2020 01:00;5;4;6;6;4;6;6;6;7;6;8;6
11.02.2020 02:00;4;4;4;4;4;5;5;5;5;4;5;5
11.02.2020 03:00;4;3;4;4;4;4;4;5;4;4;5;4
11.02.2020 04:00;3;3;4;3;3;4;4;4;4;3;4;4
11.02.2020 05:00;4;4;4;5;4;5;4;5;5;4;5;5
11.02.2020 06:00;5;5;5;5;4;6;5;6;6;5;6;6
