"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"MO_RF_MN004","400","201001","86.42","4","10"
"MO_RF_MN004","400","201002","83.04","4","10"
"MO_RF_MN004","400","201003","75.58","4","10"
"MO_RF_MN004","400","201004","64.2","4","10"
"MO_RF_MN004","400","201005","78.55","4","10"
"MO_RF_MN004","400","201006","65.33","4","10"
"MO_RF_MN004","400","201007","59.16","4","10"
"MO_RF_MN004","400","201008","77.23","4","10"
"MO_RF_MN004","400","201009","81.5","4","10"
"MO_RF_MN004","400","201010","80.16","4","10"
"MO_RF_MN004","400","201011","86.27","4","10"
"MO_RF_MN004","400","201012","89.13","4","10"
"MO_RF_MN004","400","201101","87.39","4","10"
"MO_RF_MN004","400","201102","71.93","4","10"
"MO_RF_MN004","400","201103","68.45","4","10"
"MO_RF_MN004","400","201104","62.17","4","10"
"MO_RF_MN004","400","201105","59.65","4","10"
"MO_RF_MN004","400","201106","67","4","10"
"MO_RF_MN004","400","201107","78.23","4","10"
"MO_RF_MN004","400","201108","78.03","4","10"
"MO_RF_MN004","400","201109","79.93","4","10"
"MO_RF_MN004","400","201110","84.87","4","10"
"MO_RF_MN004","400","201111","89.67","4","10"
"MO_RF_MN004","400","201112","85.16","4","10"
"MO_RF_MN004","400","201201","84.26","4","10"
"MO_RF_MN004","400","201202","80.34","4","10"
"MO_RF_MN004","400","201203","72.52","4","10"
"MO_RF_MN004","400","201204","66.33","4","10"
"MO_RF_MN004","400","201205","63.16","4","10"
"MO_RF_MN004","400","201206","70.4","4","10"
"MO_RF_MN004","400","201207","74.84","4","10"
"MO_RF_MN004","400","201208","74.65","4","10"
"MO_RF_MN004","400","201209","76.27","4","10"
"MO_RF_MN004","400","201210","83.13","4","10"
"MO_RF_MN004","400","201211","88.37","4","10"
"MO_RF_MN004","400","201212","88.61","4","10"
"MO_RF_MN004","400","201301","86.19","4","10"
"MO_RF_MN004","400","201302","85.14","4","10"
"MO_RF_MN004","400","201303","71.97","4","10"
"MO_RF_MN004","400","201304","66.47","4","10"
"MO_RF_MN004","400","201305","72.74","4","7"
"MO_RF_MN004","400","201306","70.9","4","3"
"MO_RF_MN004","400","201307","67.94","4","3"
"MO_RF_MN004","400","201308","72.17","4","3"
"MO_RF_MN004","400","201309","84.19","4","3"
"MO_RF_MN004","400","201310","83.29","4","3"
"MO_RF_MN004","400","201311","89.03","4","3"
"MO_RF_MN004","400","201312","87.14","4","3"
"MO_RF_MN004","400","201401","87.85","4","3"
"MO_RF_MN004","400","201402","78.39","4","3"
"MO_RF_MN004","400","201403","75.81","4","3"
"MO_RF_MN004","400","201404","72.91","4","3"
"MO_RF_MN004","400","201405","73.45","4","3"
"MO_RF_MN004","400","201406","70.62","4","3"
"MO_RF_MN004","400","201407","70.14","4","3"
"MO_RF_MN004","400","201408","72.78","4","3"
"MO_RF_MN004","400","201409","80.6","4","3"
"MO_RF_MN004","400","201410","87.82","4","3"
"MO_RF_MN004","400","201411","90.06","4","3"
"MO_RF_MN004","400","201412","88.35","4","3"
"MO_RF_MN004","400","201501","87.56","4","3"
"MO_RF_MN004","400","201502","83.38","4","3"
"MO_RF_MN004","400","201503","74.67","4","3"
"MO_RF_MN004","400","201504","66.25","4","3"
"MO_RF_MN004","400","201505","66.22","4","3"
"MO_RF_MN004","400","201506","65.96","4","3"
"MO_RF_MN004","400","201507","66.47","4","3"
"MO_RF_MN004","400","201508","63.23","4","3"
"MO_RF_MN004","400","201510","82.31","4","3"
"MO_RF_MN004","400","201511","83.93","4","3"
"MO_RF_MN004","400","201512","81.47","4","3"
"MO_RF_MN004","400","201601","84.13","4","3"
"MO_RF_MN004","400","201602","79.44","4","3"
"MO_RF_MN004","400","201603","78.25","4","3"
"MO_RF_MN004","400","201604","66.13","4","3"
"MO_RF_MN004","400","201605","62.73","4","3"
"MO_RF_MN004","400","201606","68","4","3"
"MO_RF_MN004","400","201607","67.18","4","3"
"MO_RF_MN004","400","201608","73.2","4","3"
"MO_RF_MN004","400","201609","71.13","4","3"
"MO_RF_MN004","400","201610","89.77","4","3"
"MO_RF_MN004","400","201611","88","4","3"
"MO_RF_MN004","400","201612","88.64","4","3"
"MO_RF_MN004","400","201701","86.43","4","3"
"MO_RF_MN004","400","201702","79.96","4","3"
"MO_RF_MN004","400","201703","75.52","4","3"
"MO_RF_MN004","400","201704","72.16","4","3"
"MO_RF_MN004","400","201705","70.5","4","3"
"MO_RF_MN004","400","201706","70.8","4","3"
"MO_RF_MN004","400","201707","76.87","4","3"
